track,date,race,post_position,horse_name,race_back,age_sex_restrictions,alt_comment_line,apprentice_wt_allow,bris_2f_pace_fig,bris_4f_pace_fig,bris_6f_pace_fig,bris_8f_pace_fig,bris_late_pace_fig,bris_race_shape_first_call,bris_race_shape_second_call,bris_speed_rating,bris_track_code,claim_trainer_switch_date,claim_trainer_switch_n1,claim_trainer_switch_n2,claim_trainer_switch_n3,claim_trainer_switch_n4,claim_trainer_switch_n5,claimed_code,claiming_price,days_since_prev_race,distance,entry,eqb_abbrev_race_conditions,equipment,extended_start_comment,favorite_indicator,final_time,finish_between_lengths,finish_between_lengths_only,finish_position,first_call_between_lengths,first_call_between_lengths_only,first_call_position,fraction_1,fraction_2,fraction_2f,fraction_3,fraction_4f,fraction_5f,fraction_6f,fraction_8f,front_bandages_indicator,gate_call_position,jockey,medication,money_position,num_entrants,odds,pp_post_position,prev_all_weather_surface_flag,purse,race_classification,race_date,race_name,race_num,race_type,restricted_qualifier_flag,sealed_track_indicator,second_call_between_lengths,second_call_between_lengths_only,second_call_position,second_place_margin,second_place_name,second_place_weight,speed_rating,start_call_between_lengths,start_call_between_lengths_only,start_call_position,statebred_flag,stretch_between_lengths,stretch_between_lengths_only,stretch_position,surface,third_place_margin,third_place_name,third_place_weight,track_code,track_condition,track_variant,trainer,trip_comment,weight,winner_margin,winner_name,winner_weight,target_FP,official_final_odds,year,target_top3,target_top5
CD,2017-05-06,12,1,LOOKIN AT LEE,1,BON,,,79,81,84,,101,4,-1,94,OP,,,,,,,,,28,1980,,ArkDby-G1,b,04-15-17 Unhurried; 3w advance; roused 1/4; dove in 1/8; back out;willing,0,108.93,1.50,1.50,3,6.75,6.75,10,46.92,71.16,22.75,96.43,46.92,,71.16,96.43,0,9,CONTRERAS LUIS,1,3,12,12.10,6,,1000000,ArkDby-G1,20170415,Arkansas Derby,11,G1,,,5.25,5.25,8,1.00,CONQUEST MO MONEY,122,93,7.25,7.25,10,,3.75,3.75,5,D,0.50,LOOKIN AT LEE,122,OP,FT,5,ASMUSSEN STEVEN M,Dove in 1/8;back out,122,0.50,CLASSIC EMPIRE,122,2,20.0,2017,1,1
CD,2017-05-06,12,1,LOOKIN AT LEE,2,BON,,,64,71,80,,100,2,2,91,OP,,,,,,,,,26,1870,,Rebel-G2,b,03-18-17 Void of speed; improved in traffic; shifted out; some interest,0,103.00,4.00,4.00,6,10.00,10.00,11,23.03,47.04,23.03,71.35,47.04,,71.35,96.80,0,10,SANTANA RICARDO JR,1,6,11,11.60,11,,900000,Rebel-G2,20170318,Rebel S.,10,G2,,,8.75,8.75,11,0.06,SONNETEER,116,91,13.00,13.00,11,,5.00,5.00,6,D,0.06,UNTRAPPED,115,OP,FT,8,ASMUSSEN STEVEN M,Shifted out; improved,117,2.00,MALAGACY,115,2,20.0,2017,1,1
CD,2017-05-06,12,1,LOOKIN AT LEE,3,BON,,,67,77,88,,87,7,3,87,OP,,,,,,,,,107,1870,,Southwst-G3,b,02-20-17 Bobbled; tight start; back; swung out 4w into lane; belated rally,0,101.85,11.75,11.75,3,11.00,11.00,10,22.93,46.55,22.93,70.98,46.55,,70.98,95.37,0,10,SANTANA RICARDO JR,1,3,12,5.10,3,,500000,Southwst-G3,20170220,Southwest S.,9,G3,,,7.75,7.75,9,8.25,PETROV,115,89,13.00,13.00,10,,13.00,13.00,7,D,0.50,LOOKIN AT LEE,117,OP,FT,8,ASMUSSEN STEVEN M,Bobble strt;swung 4w,117,3.50,ONE LINER,115,2,20.0,2017,1,1
CD,2017-05-06,12,1,LOOKIN AT LEE,4,AOC,,,70,85,102,,84,7,7,93,SA,,,,,,,,,28,1870,,BCJvnl-G1,b,11-05-16 Off pace; gathered momentum 5/16; 2wd upper; angled; belated,0,102.60,12.00,12.00,4,9.25,9.25,11,23.05,46.6,23.05,70.48,46.60,,70.48,95.96,0,8,SANTANA RICARDO JR,1,4,11,30.10,11,,2000000,BCJvnl-G1,20161105,Sentient Jet Breeders' Cup Juvenile,8,G1,,,6.75,6.75,9,7.50,NOT THIS TIME,122,77,12.00,12.00,11,,8.00,8.00,5,D,4.25,PRACTICAL JOKE,122,SA,FT,15,ASMUSSEN STEVEN M,Angled out;belated,122,0.25,CLASSIC EMPIRE,122,2,20.0,2017,1,1
CD,2017-05-06,12,1,LOOKIN AT LEE,5,AON,,,65,75,90,,90,12,9,90,KEE,,,,,,,,,21,1870,,BrdrsFut-G1,,10-08-16 Far back early; 5path far turn; rallied stretch; late gain,0,103.41,3.00,3.00,2,13.00,13.00,12,23.38,46.63,23.38,71.17,46.63,,71.17,96.89,0,3,SANTANA RICARDO JR,1,2,12,18.30,12,,500000,BrdrsFut-G1,20161008,Claiborne Breeders' Futurity,8,G1,,,6.50,6.50,9,1.00,LOOKIN AT LEE,121,92,14.00,14.00,12,,7.50,7.50,5,D,0.13,WILD SHOT,121,KEE,FT,9,ASMUSSEN STEVEN M,Rallied str; late gain,121,3.00,CLASSIC EMPIRE,121,2,20.0,2017,1,1
CD,2017-05-06,12,1,LOOKIN AT LEE,6,AON,,,83,77,79,,91,-5,-7,85,CD,,,,,,,,,42,1870,,Iroquois-G3,,09-17-16 Attended pace inside; angled out entering stretch; up for place,0,105.22,8.75,8.75,2,4.00,4.00,6,24.3,49.57,24.30,74.52,49.57,,74.52,98.95,0,4,SANTANA RICARDO JR,1,2,8,8.60,1,,150000,Iroquois-G3,20160917,Iroquois S.,8,G3,,,4.50,4.50,6,0.13,LOOKIN AT LEE,120,72,4.00,4.00,5,,6.00,6.00,6,D,1.00,RECRUITING READY,118,CD,MY,25,ASMUSSEN STEVEN M,Angled out; willingly,120,8.75,NOT THIS TIME,118,2,20.0,2017,1,1
CD,2017-05-06,12,1,LOOKIN AT LEE,7,AON,,,92,94,,,82,6,2,85,ELP,,,,,,,,,15,1540,,ELPJvnileB75k,,08-06-16 Chased pace early; 5path turn; rallied stretch; drove past,0,83.34,0.75,,1,3.50,3.50,3,22.39,45.7,22.39,70.33,45.70,,70.33,,0,2,JIMENEZ ALBIN,1,1,5,2.00,4,,75000,ELPJvnileB75k,20160806,Ellis Park Juvenile S.,7,N,,,2.00,2.00,3,3.00,CAROLINE TEST,117,91,,,2,,1.50,1.50,2,D,0.50,HONOR THY FATHER,120,ELP,FT,11,ASMUSSEN STEVEN M,Rallied str;drove past,120,0.75,LOOKIN AT LEE,120,2,20.0,2017,1,1
CD,2017-05-06,12,1,LOOKIN AT LEE,8,AON,,,83,82,,,91,-1,-5,80,ELP,,,,,,,,,41,1320,,MdSpWt,,07-22-16 Chased pace early; 4path turn; drove past str; drew away late,1,70.15,4.75,,1,4.00,4.00,4,22.47,45.83,22.47,57.96,45.83,57.96,,,0,4,MENA M,1,1,7,1.70,6,,38000,MdSpWt,20160722,,3,S,,,2.50,2.50,4,0.13,ARLEN'S PROSPECT,120,89,,,4,,1.50,1.50,2,D,2.00,SOCIETY BEAU,120,ELP,FT,9,ASMUSSEN STEVEN M,Drove past; drew away,120,4.75,LOOKIN AT LEE,120,2,20.0,2017,1,1
CD,2017-05-06,12,1,LOOKIN AT LEE,9,AON,,,80,,,,80,,,69,CD,,,,,,,,,,1100,,MdSpWt,,06-11-16 Allowed to settle; 3w; mild gain; failed to make headway,0,57.44,6.00,6.00,5,3.00,3.00,5,22.67,45.24,22.67,,45.24,,,,0,1,BRIDGMOHAN S X,1,5,8,13.70,5,,46500,MdSpWt,20160611,,5,S,,,6.00,6.00,6,1.00,OUR STORMIN NORMAN,118,93,,,1,,8.00,8.00,5,D,1.25,LAWTON,118,CD,FT,6,ASMUSSEN STEVEN M,3w; mild gain,118,3.25,TIP TAP TAPIZAR,118,2,20.0,2017,1,1
CD,2017-05-06,12,10,GUNNEVERA,1,BON,,,62,71,85,,102,3,1,95,GP,,,,,,,,,28,1980,,FLDby-G1,b,04-01-17 Angl rail start; taken back; 6wd; gained show,1,107.47,6.50,6.50,3,12.00,12.00,9,47.08,70.75,23.28,94.94,47.08,,70.75,94.94,1,10,CASTELLANO J J,1,3,10,1.10,10,,1000000,FLDby-G1,20170401,Xpressbet Florida Derby,14,G1,,,9.00,9.00,8,1.50,STATE OF HONOR,122,90,15.00,15.00,10,,8.00,8.00,5,D,0.50,GUNNEVERA,122,GP,FT,6,SANO ANTONIO,Taken back;6w;gain shw,122,5.00,ALWAYS DREAMING,122,7,9.0,2017,0,0
